;titles;years;category
299;Nir to rgb domain translation using asymmetric cycle generative adversarial networks; 2019 ;Image-to-Image Translation
300;Image analysis via the general theory of moments; 1980 ;Image-to-Image Translation
301;Cascade attention guided residue learning gan for cross-modal translation; 2021 ;Image-to-Image Translation
302;Concept of constrained translation. Non-linguistic perspectives of translation; 1988 ;Image-to-Image Translation
303;Carigans: Unpaired photo-to-caricature translation; 2018 ;Image-to-Image Translation
304;Domain translation with conditional gans: from depth to rgb face-to-face; 2018 ;Image-to-Image Translation
305;A deep translation (GAN) based change detection network for optical and SAR remote sensing images; 2021 ;Image-to-Image Translation
306;Deep translation prior: Test-time training for photorealistic style transfer; 2022 ;Image-to-Image Translation
307;Person transfer gan to bridge domain gap for person re-identification; 2018 ;Image-to-Image Translation
308;[CITATION] Research; 2007;Image-to-Image Translation
309;Automating tactile graphics translation; 2005 ;Image-to-Image Translation
310;Learning to discover cross-domain relations with generative adversarial networks; 2017 ;Image-to-Image Translation
311;Template matching using the parametric template vector with translation, rotation and scale invariance; 2008 ;Image-to-Image Translation
312;The effectiveness of machine translation to improve the system of translating language on cultural context; 2020 ;Image-to-Image Translation
313;Pix2pix-based stain-to-stain translation: A solution for robust stain normalization in histopathology images analysis; 2020 ;Image-to-Image Translation
314;The translation sensitivity of wavelet-based registration; 1999 ;Image-to-Image Translation
315;[CITATION] Image inpainting using multi-scale feature image translation; 2017;Image-to-Image Translation
316;Multi-domain translation by learning uncoupled autoencoders; 2019 ;Image-to-Image Translation
317;[CITATION] Autonomous driving in reality with reinforcement learning and image translation; 2018;Image-to-Image Translation
318;BargainNet: Background-guided domain translation for image harmonization; 2021 ;Image-to-Image Translation
319;Translation and scale invariants of Krawtchouk moments; 2018 ;Image-to-Image Translation
320;An FFT-based technique for translation, rotation, and scale-invariant image registration; 1996 ;Image-to-Image Translation
321;[CITATION] Deformation-aware unpaired image translation for pose estimation on laboratory animals. In 2020 IEEE; 2020;Image-to-Image Translation
322;[CITATION] Face image translation based on self-discriminant cycle generation confrontation network; 2022;Image-to-Image Translation
323;V2V: A deep learning approach to variable-to-variable selection and translation for multivariate time-varying data; 2020 ;Image-to-Image Translation
324;[CITATION] VR Facial Animation via Multiview Image Translation;S Jason ;Image-to-Image Translation
325;[CITATION] & Yang, B.(2020). MedGAN: Medical image translation using GANs; T Hepp… ;Image-to-Image Translation
326;Deblurgan: Blind motion deblurring using conditional adversarial networks; 2018 ;Image-to-Image Translation
327;[LIVRE] Cinéma 1-L'image-mouvement;G Deleuze ;Image-to-Image Translation
328;Emotion classification with data augmentation using generative adversarial networks; 2018 ;Image-to-Image Translation
329;Preserving semantic and temporal consistency for unpaired video-to-video translation; 2019 ;Image-to-Image Translation
330;Deep learning-based frozen section to FFPE translation; 2021 ;Image-to-Image Translation
331;Echocardiography segmentation by quality translation using anatomically constrained cyclegan; 2019 ;Image-to-Image Translation
332;Mri cross-modality neuroimage-to-neuroimage translation; 2018 ;Image-to-Image Translation
333;Realistic endoscopic image generation method using virtual‐to‐real image‐domain translation; 2019 ;Image-to-Image Translation
334;Translation camera; 1998 ;Image-to-Image Translation
335;[HTML] Interactive echocardiography translation using few-shot GAN transfer learning; 2020 ;Image-to-Image Translation
336;Towards cross-modal organ translation and segmentation: A cycle-and shape-consistent generative adversarial network; 2019 ;Image-to-Image Translation
337;Cycada: Cycle-consistent adversarial domain adaptation; 2018 ;Image-to-Image Translation
338;Rotation, scale and translation invariant digital image watermarking; 1997 ;Image-to-Image Translation
339;Universal face photo-sketch style transfer via multiview domain translation; 2020 ;Image-to-Image Translation
340;Vernier acuity during image rotation and translation: visual performance limits; 1995 ;Image-to-Image Translation
341;Cultural value of translation of proverbs and synopsis; 2020 ;Image-to-Image Translation
342;Translation invariants of Zernike moments; 2003 ;Image-to-Image Translation
343;[HTML] Real-time imaging of translation on single mRNA transcripts in live cells; 2016 ;Image-to-Image Translation
344;A novel approach to image roto-translation estimation; 2007 ;Image-to-Image Translation
345;Nonrigid motion correction in 3D using autofocusing withlocalized linear translations; 2012 ;Image-to-Image Translation
346;Optimal unsupervised domain translation; 2019 ;Image-to-Image Translation
347;[HTML] SHIFT: speedy histological-to-immunofluorescent translation of a tumor signature enabled by deep learning; 2020 ;Image-to-Image Translation
348;Learning deep semantic segmentation network under multiple weakly-supervised constraints for cross-domain remote sensing image semantic segmentation; 2021 ;Image-to-Image Translation
349;MRI to CT Translation with GANs; 2019 ;Image-to-Image Translation
350;Blind cross-spectral image registration using prefiltering and fourier-based translation detection; 2002 ;Image-to-Image Translation
351;A universal music translation network; 2018 ;Image-to-Image Translation
352;Face-to-parameter translation for game character auto-creation; 2019 ;Image-to-Image Translation
353;[PDF] WP2-GAN: Wavelet-based Multi-level GAN for Progressive Facial Expression Translation with Parallel Generators; 2021 ;Image-to-Image Translation
354;Image-to-voxel model translation with conditional adversarial networks; 2018 ;Image-to-Image Translation
355;FSRM-STS: Cross-dataset pedestrian retrieval based on a four-stage retrieval model with Selection–Translation–Selection; 2020 ;Image-to-Image Translation
356;Sign language production using neural machine translation and generative adversarial networks; 2018 ;Image-to-Image Translation
357;[HTML] A survey on image data augmentation for deep learning; 2019 ;Image-to-Image Translation
358;One-shot unsupervised cross domain translation; 2018 ;Image-to-Image Translation
359;GAN-based synthetic medical image augmentation for increased CNN performance in liver lesion classification; 2018 ;Image-to-Image Translation
360;Visualization of single endogenous polysomes reveals the dynamics of translation in live human cells; 2016 ;Image-to-Image Translation
361;Generative adversarial networks: An overview; 2018 ;Image-to-Image Translation
362;Model-based lip synchronization with automatically translated synthetic voice toward a multi-modal translation system; 2001 ;Image-to-Image Translation
363;Rotation-, scale-, and translation-invariant image watermark using higher order spectra; 2003 ;Image-to-Image Translation
364;[PDF] Comparative study between wavelet thresholding techniques (hard, soft and invariant-translation) in ultrasound images; 2014 ;Image-to-Image Translation
365;Invariant image recognition by Zernike moments; 1990 ;Image-to-Image Translation
366;Automatic visual to tactile translation. i. human factors, access methods and image manipulation; 1997 ;Image-to-Image Translation
367;Automatic image annotation and retrieval using cross-media relevance models; 2003 ;Image-to-Image Translation
368;Rotation, scale, and translation resilient watermarking for images; 2001 ;Image-to-Image Translation
369;Neural machine translation with universal visual representation; 2019 ;Image-to-Image Translation
370;Correction of pseudoscoliosis (lateral thoracic translation posture) for the treatment of low back pain: a CBP® case report; 2018 ;Image-to-Image Translation
371;Mobile robot localization and mapping with uncertainty using scale-invariant visual landmarks; 2002 ;Image-to-Image Translation
372;Face anti-spoofing via adversarial cross-modality translation; 2021 ;Image-to-Image Translation
373;[LIVRE] Handbook of computer vision algorithms in image algebra; GX Ritter ;Image-to-Image Translation
374;Translation, rotation and scale stabilisation of image sequences; 2003 ;Image-to-Image Translation
375;Learning to transfer: Unsupervised meta domain translation; 2019 ;Image-to-Image Translation
376;A coupling translation network for change detection in heterogeneous images; 2019 ;Image-to-Image Translation
